"GEOID","total","no_vehicle_available","one_vehicle_available","no_vehicle_percentage","one_vehicle_percentage"
"42003472200",1174,125,668,0.106473594548552,0.568994889267462
"42003482500",845,92,308,0.10887573964497,0.364497041420118
"42003560500",1406,156,807,0.110953058321479,0.573968705547653
"42003170200",2300,183,1411,0.0795652173913043,0.613478260869565
"42003151600",1255,160,709,0.127490039840637,0.564940239043825
"42003100500",896,169,432,0.188616071428571,0.482142857142857
"42003051100",292,126,157,0.431506849315068,0.537671232876712
"42003050100",863,469,302,0.543453070683662,0.349942062572422
"42003250900",591,164,216,0.277495769881557,0.365482233502538
"42003981200",0,0,0,NA,NA
"42003010302",313,62,157,0.198083067092652,0.501597444089457
"42003192000",1445,262,647,0.181314878892734,0.447750865051903
"42003160900",1945,330,995,0.169665809768638,0.511568123393316
"42003191900",1008,95,503,0.0942460317460317,0.499007936507937
"42003310200",1429,90,540,0.0629811056682995,0.377886634009797
"42003151700",2391,408,1140,0.170639899623588,0.476787954830615
"42003141300",2269,615,1110,0.271044513001322,0.489202291758484
"42003101100",1143,89,596,0.0778652668416448,0.521434820647419
"42003080400",968,229,483,0.236570247933884,0.49896694214876
"42003070500",1709,380,906,0.222352252779403,0.530134581626682
"42003140200",835,234,312,0.280239520958084,0.373652694610778
"42003111400",651,218,252,0.334869431643625,0.387096774193548
"42003431100",1660,292,753,0.175903614457831,0.453614457831325
"42003428200",973,61,434,0.0626927029804728,0.446043165467626
"42003270100",1211,184,523,0.151940545004129,0.431874483897605
"42003270300",932,311,383,0.333690987124464,0.410944206008584
"42003561900",964,171,598,0.177385892116183,0.620331950207469
"42003515401",1024,76,572,0.07421875,0.55859375
"42003564100",414,1,137,0.00241545893719807,0.330917874396135
"42003980600",4,4,0,1,0
"42003101900",1123,165,486,0.146927871772039,0.432769367764915
"42003120900",627,230,230,0.36682615629984,0.36682615629984
"42003564800",761,265,331,0.348226018396846,0.434954007884363
"42003565100",1520,410,696,0.269736842105263,0.457894736842105
"42003980000",0,0,0,NA,NA
"42003463900",1512,497,587,0.328703703703704,0.388227513227513
"42003111300",1187,253,597,0.213142375737152,0.502948609941028
"42003070800",1640,285,874,0.173780487804878,0.532926829268293
"42003130200",375,103,174,0.274666666666667,0.464
"42003562400",1166,188,579,0.161234991423671,0.496569468267581
"42003982200",8,0,3,0,0.375
"42003281500",576,105,211,0.182291666666667,0.366319444444444
"42003563201",187,7,112,0.0374331550802139,0.598930481283422
"42003470501",2213,167,1254,0.0754631721644826,0.566651604157253
