"GEOID","NAME","moe","income"
"42003472200","Census Tract 4722; Allegheny County; Pennsylvania",24452,65313
"42003482500","Census Tract 4825; Allegheny County; Pennsylvania",19638,81477
"42003560500","Census Tract 5605; Allegheny County; Pennsylvania",17148,94952
"42003170200","Census Tract 1702; Allegheny County; Pennsylvania",12597,67407
"42003151600","Census Tract 1516; Allegheny County; Pennsylvania",23196,59861
"42003100500","Census Tract 1005; Allegheny County; Pennsylvania",6970,71806
"42003051100","Census Tract 511; Allegheny County; Pennsylvania",NA,NA
"42003050100","Census Tract 501; Allegheny County; Pennsylvania",15532,29353
"42003250900","Census Tract 2509; Allegheny County; Pennsylvania",27645,50673
"42003981200","Census Tract 9812; Allegheny County; Pennsylvania",NA,NA
"42003010302","Census Tract 103.02; Allegheny County; Pennsylvania",19104,56125
"42003192000","Census Tract 1920; Allegheny County; Pennsylvania",11881,69889
"42003160900","Census Tract 1609; Allegheny County; Pennsylvania",21015,88792
"42003191900","Census Tract 1919; Allegheny County; Pennsylvania",14885,75341
"42003310200","Census Tract 3102; Allegheny County; Pennsylvania",14111,80213
"42003151700","Census Tract 1517; Allegheny County; Pennsylvania",15484,71012
"42003141300","Census Tract 1413; Allegheny County; Pennsylvania",17358,60396
"42003101100","Census Tract 1011; Allegheny County; Pennsylvania",16081,84609
"42003080400","Census Tract 804; Allegheny County; Pennsylvania",13335,62200
"42003070500","Census Tract 705; Allegheny County; Pennsylvania",6816,71631
"42003140200","Census Tract 1402; Allegheny County; Pennsylvania",15352,65494
"42003111400","Census Tract 1114; Allegheny County; Pennsylvania",7684,61020
"42003431100","Census Tract 4311; Allegheny County; Pennsylvania",6700,65794
"42003428200","Census Tract 4282; Allegheny County; Pennsylvania",22294,80094
"42003270100","Census Tract 2701; Allegheny County; Pennsylvania",16209,75993
"42003270300","Census Tract 2703; Allegheny County; Pennsylvania",13410,60455
"42003561900","Census Tract 5619; Allegheny County; Pennsylvania",25512,29118
"42003515401","Census Tract 5154.01; Allegheny County; Pennsylvania",14312,72000
"42003564100","Census Tract 5641; Allegheny County; Pennsylvania",42053,150556
"42003980600","Census Tract 9806; Allegheny County; Pennsylvania",NA,NA
"42003101900","Census Tract 1019; Allegheny County; Pennsylvania",15166,64872
