"GEOID","NAME","moe","black"
"42003472200","Census Tract 4722; Allegheny County; Pennsylvania",167,175
"42003482500","Census Tract 4825; Allegheny County; Pennsylvania",134,212
"42003560500","Census Tract 5605; Allegheny County; Pennsylvania",126,148
"42003170200","Census Tract 1702; Allegheny County; Pennsylvania",471,765
"42003151600","Census Tract 1516; Allegheny County; Pennsylvania",103,61
"42003100500","Census Tract 1005; Allegheny County; Pennsylvania",196,1105
"42003051100","Census Tract 511; Allegheny County; Pennsylvania",223,539
"42003050100","Census Tract 501; Allegheny County; Pennsylvania",433,1641
"42003250900","Census Tract 2509; Allegheny County; Pennsylvania",228,513
"42003981200","Census Tract 9812; Allegheny County; Pennsylvania",11,0
"42003010302","Census Tract 103.02; Allegheny County; Pennsylvania",121,518
"42003192000","Census Tract 1920; Allegheny County; Pennsylvania",234,431
"42003160900","Census Tract 1609; Allegheny County; Pennsylvania",209,203
"42003191900","Census Tract 1919; Allegheny County; Pennsylvania",59,61
"42003310200","Census Tract 3102; Allegheny County; Pennsylvania",172,215
"42003151700","Census Tract 1517; Allegheny County; Pennsylvania",407,493
"42003141300","Census Tract 1413; Allegheny County; Pennsylvania",48,97
"42003101100","Census Tract 1011; Allegheny County; Pennsylvania",173,179
"42003080400","Census Tract 804; Allegheny County; Pennsylvania",49,76
"42003070500","Census Tract 705; Allegheny County; Pennsylvania",86,109
"42003140200","Census Tract 1402; Allegheny County; Pennsylvania",54,77
"42003111400","Census Tract 1114; Allegheny County; Pennsylvania",305,672
"42003431100","Census Tract 4311; Allegheny County; Pennsylvania",130,331
"42003428200","Census Tract 4282; Allegheny County; Pennsylvania",74,70
"42003270100","Census Tract 2701; Allegheny County; Pennsylvania",93,367
"42003270300","Census Tract 2703; Allegheny County; Pennsylvania",534,849
"42003561900","Census Tract 5619; Allegheny County; Pennsylvania",501,1765
"42003515401","Census Tract 5154.01; Allegheny County; Pennsylvania",194,281
"42003564100","Census Tract 5641; Allegheny County; Pennsylvania",20,15
"42003980600","Census Tract 9806; Allegheny County; Pennsylvania",11,0
"42003101900","Census Tract 1019; Allegheny County; Pennsylvania",336,1625
"42003120900","Census Tract 1209; Allegheny County; Pennsylvania",261,1164
"42003564800","Census Tract 5648; Allegheny County; Pennsylvania",238,1116
"42003565100","Census Tract 5651; Allegheny County; Pennsylvania",387,803
"42003980000","Census Tract 9800; Allegheny County; Pennsylvania",11,0
"42003463900","Census Tract 4639; Allegheny County; Pennsylvania",435,882
"42003111300","Census Tract 1113; Allegheny County; Pennsylvania",234,465
"42003070800","Census Tract 708; Allegheny County; Pennsylvania",97,74
"42003130200","Census Tract 1302; Allegheny County; Pennsylvania",406,941
"42003562400","Census Tract 5624; Allegheny County; Pennsylvania",593,1171
"42003982200","Census Tract 9822; Allegheny County; Pennsylvania",175,535
"42003281500","Census Tract 2815; Allegheny County; Pennsylvania",348,491
"42003563201","Census Tract 5632.01; Allegheny County; Pennsylvania",11,0
"42003470501","Census Tract 4705.01; Allegheny County; Pennsylvania",96,94
"42003040500","Census Tract 405; Allegheny County; Pennsylvania",67,126
"42003161000","Census Tract 1610; Allegheny County; Pennsylvania",559,1074
"42003010301","Census Tract 103.01; Allegheny County; Pennsylvania",133,1031
"42003981100","Census Tract 9811; Allegheny County; Pennsylvania",11,0
"42003472300","Census Tract 4723; Allegheny County; Pennsylvania",65,100
"42003060300","Census Tract 603; Allegheny County; Pennsylvania",134,182
"42003981000","Census Tract 9810; Allegheny County; Pennsylvania",11,0
"42003020100","Census Tract 201; Allegheny County; Pennsylvania",127,415
"42003080200","Census Tract 802; Allegheny County; Pennsylvania",60,87
"42003040600","Census Tract 406; Allegheny County; Pennsylvania",63,77
"42003478200","Census Tract 4782; Allegheny County; Pennsylvania",407,494
"42003473100","Census Tract 4731; Allegheny County; Pennsylvania",12,9
"42003080900","Census Tract 809; Allegheny County; Pennsylvania",118,153
"42003140500","Census Tract 1405; Allegheny County; Pennsylvania",163,370
"42003261500","Census Tract 2615; Allegheny County; Pennsylvania",601,1010
"42003469000","Census Tract 4690; Allegheny County; Pennsylvania",2,2
"42003488300","Census Tract 4883; Allegheny County; Pennsylvania",12,8
"42003560400","Census Tract 5604; Allegheny County; Pennsylvania",151,531
"42003191100","Census Tract 1911; Allegheny County; Pennsylvania",33,27
"42003191800","Census Tract 1918; Allegheny County; Pennsylvania",185,241
"42003290200","Census Tract 2902; Allegheny County; Pennsylvania",254,670
"42003320400","Census Tract 3204; Allegheny County; Pennsylvania",92,138
"42003480400","Census Tract 4804; Allegheny County; Pennsylvania",172,192
"42003476200","Census Tract 4762; Allegheny County; Pennsylvania",153,142
"42003141100","Census Tract 1411; Allegheny County; Pennsylvania",60,56
"42003090100","Census Tract 901; Allegheny County; Pennsylvania",220,241
"42003080700","Census Tract 807; Allegheny County; Pennsylvania",85,117
"42003140400","Census Tract 1404; Allegheny County; Pennsylvania",46,30
"42003140100","Census Tract 1401; Allegheny County; Pennsylvania",253,383
"42003111500","Census Tract 1115; Allegheny County; Pennsylvania",700,1609
"42003421100","Census Tract 4211; Allegheny County; Pennsylvania",124,122
"42003050600","Census Tract 506; Allegheny County; Pennsylvania",348,951
"42003040900","Census Tract 409; Allegheny County; Pennsylvania",261,553
"42003040400","Census Tract 404; Allegheny County; Pennsylvania",47,62
"42003040200","Census Tract 402; Allegheny County; Pennsylvania",118,542
"42003020300","Census Tract 203; Allegheny County; Pennsylvania",7,5
"42003262000","Census Tract 2620; Allegheny County; Pennsylvania",480,823
"42003260700","Census Tract 2607; Allegheny County; Pennsylvania",84,425
"42003563100","Census Tract 5631; Allegheny County; Pennsylvania",152,252
"42003980100","Census Tract 9801; Allegheny County; Pennsylvania",11,0
"42003160800","Census Tract 1608; Allegheny County; Pennsylvania",105,132
"42003565300","Census Tract 5653; Allegheny County; Pennsylvania",107,101
"42003130700","Census Tract 1307; Allegheny County; Pennsylvania",409,1951
"42003562901","Census Tract 5629.01; Allegheny County; Pennsylvania",193,428
"42003431500","Census Tract 4315; Allegheny County; Pennsylvania",199,422
"42003429700","Census Tract 4297; Allegheny County; Pennsylvania",97,61
"42003429100","Census Tract 4291; Allegheny County; Pennsylvania",116,148
"42003427200","Census Tract 4272; Allegheny County; Pennsylvania",121,74
"42003427000","Census Tract 4270; Allegheny County; Pennsylvania",194,283
"42003261400","Census Tract 2614; Allegheny County; Pennsylvania",342,1072
"42003260200","Census Tract 2602; Allegheny County; Pennsylvania",190,611
"42003480300","Census Tract 4803; Allegheny County; Pennsylvania",105,98
"42003478100","Census Tract 4781; Allegheny County; Pennsylvania",246,268
"42003141400","Census Tract 1414; Allegheny County; Pennsylvania",149,261
"42003110200","Census Tract 1102; Allegheny County; Pennsylvania",143,656
"42003101800","Census Tract 1018; Allegheny County; Pennsylvania",218,353
"42003090300","Census Tract 903; Allegheny County; Pennsylvania",35,40
"42003080600","Census Tract 806; Allegheny County; Pennsylvania",55,37
"42003070900","Census Tract 709; Allegheny County; Pennsylvania",143,266
"42003060500","Census Tract 605; Allegheny County; Pennsylvania",15,13
"42003051000","Census Tract 510; Allegheny County; Pennsylvania",285,996
"42003140300","Census Tract 1403; Allegheny County; Pennsylvania",133,152
"42003120300","Census Tract 1203; Allegheny County; Pennsylvania",495,1560
"42003110600","Census Tract 1106; Allegheny County; Pennsylvania",148,201
"42003424000","Census Tract 4240; Allegheny County; Pennsylvania",173,287
"42003422000","Census Tract 4220; Allegheny County; Pennsylvania",16,0
"42003483800","Census Tract 4838; Allegheny County; Pennsylvania",323,1645
"42003460002","Census Tract 4600.02; Allegheny County; Pennsylvania",278,292
"42003488500","Census Tract 4885; Allegheny County; Pennsylvania",100,89
"42003523100","Census Tract 5231; Allegheny County; Pennsylvania",764,2848
"42003473300","Census Tract 4733; Allegheny County; Pennsylvania",119,83
"42003481000","Census Tract 4810; Allegheny County; Pennsylvania",380,1188
"42003484300","Census Tract 4843; Allegheny County; Pennsylvania",585,1233
"42003190300","Census Tract 1903; Allegheny County; Pennsylvania",132,89
"42003191400","Census Tract 1914; Allegheny County; Pennsylvania",73,86
"42003191500","Census Tract 1915; Allegheny County; Pennsylvania",141,91
"42003281400","Census Tract 2814; Allegheny County; Pennsylvania",109,1024
"42003290100","Census Tract 2901; Allegheny County; Pennsylvania",192,262
"42003320700","Census Tract 3207; Allegheny County; Pennsylvania",35,34
"42003472100","Census Tract 4721; Allegheny County; Pennsylvania",219,200
"42003562600","Census Tract 5626; Allegheny County; Pennsylvania",374,777
"42003562000","Census Tract 5620; Allegheny County; Pennsylvania",145,225
"42003562300","Census Tract 5623; Allegheny County; Pennsylvania",435,1400
"42003980900","Census Tract 9809; Allegheny County; Pennsylvania",18,15
"42003980400","Census Tract 9804; Allegheny County; Pennsylvania",11,0
"42003562800","Census Tract 5628; Allegheny County; Pennsylvania",59,76
"42003130600","Census Tract 1306; Allegheny County; Pennsylvania",755,3704
"42003562700","Census Tract 5627; Allegheny County; Pennsylvania",123,329
"42003141200","Census Tract 1412; Allegheny County; Pennsylvania",255,259
"42003565200","Census Tract 5652; Allegheny County; Pennsylvania",467,1857
"42003563000","Census Tract 5630; Allegheny County; Pennsylvania",224,1053
"42003980500","Census Tract 9805; Allegheny County; Pennsylvania",11,0
"42003980700","Census Tract 9807; Allegheny County; Pennsylvania",11,0
"42003202300","Census Tract 2023; Allegheny County; Pennsylvania",668,543
"42003070600","Census Tract 706; Allegheny County; Pennsylvania",11,0
"42003428100","Census Tract 4281; Allegheny County; Pennsylvania",26,25
"42003562500","Census Tract 5625; Allegheny County; Pennsylvania",496,1838
