"GEOID","total","male","female","male_percentage","female_percentage","poverty_percentage"
"42003472200",2185,126,90,0.0576659038901602,0.0411899313501144,0.0988558352402746
"42003482500",1870,49,92,0.0262032085561497,0.0491978609625668,0.0754010695187166
"42003560500",2322,80,116,0.0344530577088717,0.0499569336778639,0.0844099913867356
"42003170200",4016,372,586,0.0926294820717131,0.145916334661355,0.238545816733068
"42003151600",2459,147,156,0.0597803985359902,0.0634404229361529,0.123220821472143
"42003100500",1953,97,184,0.0496671786994368,0.0942140296979007,0.143881208397337
"42003051100",848,268,468,0.316037735849057,0.55188679245283,0.867924528301887
"42003050100",1806,411,526,0.227574750830565,0.29125138427464,0.518826135105205
"42003250900",1155,136,166,0.117748917748918,0.143722943722944,0.261471861471861
"42003981200",0,0,0,NA,NA,NA
"42003010302",4587,131,155,0.0285589710050142,0.0337911488990626,0.0623501199040767
"42003192000",3277,63,195,0.0192249008239243,0.0595056454073848,0.0787305462313091
"42003160900",3413,239,325,0.0700263697626721,0.0952241429827132,0.165250512745385
"42003191900",2183,135,73,0.0618415025194686,0.0334402198808978,0.0952817224003665
"42003310200",3295,85,353,0.0257966616084977,0.107132018209408,0.132928679817906
"42003151700",4468,350,144,0.0783348254252462,0.0322291853178156,0.110564010743062
"42003141300",4852,584,639,0.120362737015664,0.131698268755153,0.252061005770816
"42003101100",2484,189,156,0.0760869565217391,0.0628019323671498,0.138888888888889
"42003080400",1666,111,263,0.0666266506602641,0.157863145258103,0.224489795918367
"42003070500",2918,175,286,0.0599725839616175,0.0980123372172721,0.15798492117889
"42003140200",2421,122,210,0.050392399834779,0.0867410161090458,0.137133415943825
"42003111400",1289,79,95,0.0612878200155159,0.073700543056633,0.134988363072149
"42003431100",3192,220,100,0.068922305764411,0.031328320802005,0.100250626566416
"42003428200",2092,107,63,0.0511472275334608,0.0301147227533461,0.0812619502868069
"42003270100",2491,33,51,0.0132476916900843,0.0204737053392212,0.0337213970293055
"42003270300",2116,211,258,0.0997164461247637,0.121928166351607,0.221644612476371
"42003561900",1883,432,319,0.229421136484334,0.169410515135422,0.398831651619756
"42003515401",2182,122,67,0.0559120073327223,0.0307057745187901,0.0866177818515124
"42003564100",961,2,5,0.00208116545265349,0.00520291363163371,0.0072840790842872
"42003980600",4,4,0,1,0,1
"42003101900",2740,400,267,0.145985401459854,0.0974452554744526,0.243430656934307
"42003120900",1610,309,208,0.191925465838509,0.129192546583851,0.32111801242236
"42003564800",1636,152,323,0.0929095354523227,0.197432762836186,0.290342298288509
"42003565100",2951,367,453,0.124364622161979,0.153507285665876,0.277871907827855
"42003980000",0,0,0,NA,NA,NA
"42003463900",3015,297,260,0.0985074626865672,0.0862354892205638,0.184742951907131
"42003111300",2734,105,183,0.0384052670080468,0.0669348939283102,0.105340160936357
"42003070800",2576,98,97,0.0380434782608696,0.0376552795031056,0.0756987577639752
"42003130200",1138,99,124,0.0869947275922671,0.10896309314587,0.195957820738137
"42003562400",3050,700,441,0.229508196721311,0.144590163934426,0.374098360655738
"42003982200",5656,5,9,0.000884016973125884,0.00159123055162659,0.00247524752475248
"42003281500",1483,44,181,0.0296695886716116,0.122049898853675,0.151719487525287
"42003563201",261,6,0,0.0229885057471264,0,0.0229885057471264
"42003470501",4400,86,112,0.0195454545454545,0.0254545454545455,0.045
"42003040500",2860,539,1220,0.188461538461538,0.426573426573427,0.615034965034965
"42003161000",2740,186,513,0.0678832116788321,0.187226277372263,0.255109489051095
"42003010301",1889,0,0,0,0,0
"42003981100",0,0,0,NA,NA,NA
"42003472300",1798,33,48,0.0183537263626251,0.0266963292547275,0.0450500556173526
"42003060300",2659,202,230,0.0759684091763821,0.0864986837156826,0.162467092892065
"42003981000",0,0,0,NA,NA,NA
"42003020100",4416,124,299,0.0280797101449275,0.0677083333333333,0.0957880434782609
"42003080200",1757,77,35,0.0438247011952191,0.0199203187250996,0.0637450199203187
"42003040600",2309,596,1165,0.258120398440884,0.504547423126895,0.762667821567778
"42003478200",5544,157,529,0.0283189033189033,0.0954184704184704,0.123737373737374
"42003473100",4630,37,49,0.00799136069114471,0.0105831533477322,0.0185745140388769
"42003080900",1994,118,149,0.0591775325977934,0.0747241725175527,0.133901705115346
"42003140500",2221,39,63,0.0175596578117965,0.0283656010805943,0.0459252588923908
"42003261500",1746,135,116,0.077319587628866,0.0664375715922108,0.143757159221077
"42003469000",4856,140,315,0.028830313014827,0.0648682042833608,0.0936985172981878
"42003488300",1874,56,95,0.0298826040554963,0.0506937033084312,0.0805763073639274
"42003560400",1478,167,185,0.112990527740189,0.125169147496617,0.238159675236807
"42003191100",2220,60,125,0.027027027027027,0.0563063063063063,0.0833333333333333
"42003191800",5332,106,170,0.0198799699924981,0.0318829707426857,0.0517629407351838
"42003290200",4043,324,451,0.0801385110066782,0.111550828592629,0.191689339599307
"42003320400",1842,132,173,0.0716612377850163,0.0939196525515744,0.165580890336591
"42003480400",4828,345,292,0.0714581607290804,0.0604805302402651,0.131938690969345
"42003476200",3250,104,168,0.032,0.0516923076923077,0.0836923076923077
"42003141100",1351,35,32,0.0259067357512953,0.0236861584011843,0.0495928941524796
"42003090100",2041,104,134,0.0509554140127389,0.0656540911317981,0.116609505144537
"42003080700",2142,84,122,0.0392156862745098,0.0569561157796452,0.096171802054155
"42003140400",2167,54,66,0.0249192431933549,0.0304568527918782,0.055376095985233
"42003140100",6155,32,331,0.00519902518277823,0.0537774167343623,0.0589764419171405
"42003111500",3396,210,236,0.0618374558303887,0.0694935217903416,0.13133097762073
"42003421100",4994,125,60,0.0250300360432519,0.0120144173007609,0.0370444533440128
"42003050600",1639,107,84,0.0652837095790116,0.0512507626601586,0.11653447223917
"42003040900",3414,999,852,0.292618629173989,0.249560632688928,0.542179261862917
"42003040400",1501,73,187,0.0486342438374417,0.124583610926049,0.173217854763491
"42003040200",2109,253,432,0.119962067330488,0.204836415362731,0.32479848269322
"42003020300",1717,98,25,0.0570762958648806,0.0145602795573675,0.0716365754222481
"42003262000",2769,199,629,0.0718671000361141,0.227157818707114,0.299024918743229
"42003260700",1638,122,125,0.0744810744810745,0.0763125763125763,0.150793650793651
"42003563100",3509,43,46,0.012254203476774,0.0131091479053861,0.0253633513821602
"42003980100",0,0,0,NA,NA,NA
"42003160800",2447,157,219,0.0641601961585615,0.0894973436861463,0.153657539844708
"42003565300",1291,222,107,0.171959721146398,0.0828814872192099,0.254841208365608
"42003130700",2193,202,526,0.0921112631098951,0.239854081167351,0.331965344277246
"42003562901",1534,323,205,0.210560625814863,0.133637548891786,0.344198174706649
"42003431500",3098,307,158,0.0990961910910265,0.0510006455777921,0.150096836668819
"42003429700",2148,97,131,0.0451582867783985,0.0609869646182495,0.106145251396648
"42003429100",2469,29,136,0.0117456460105306,0.0550830295666262,0.0668286755771567
"42003427200",4620,111,128,0.024025974025974,0.0277056277056277,0.0517316017316017
