"GEOID","total","no_vehicle_available","one_vehicle_available","no_vehicle_percentage","one_vehicle_percentage","total_percentage"
"42003472200",2185,125,668,0.05720823798627,0.305720823798627,0.362929061784897
"42003482500",1870,92,308,0.0491978609625668,0.164705882352941,0.213903743315508
"42003560500",2322,156,807,0.0671834625322997,0.347545219638243,0.414728682170543
"42003170200",4016,183,1411,0.0455677290836653,0.351344621513944,0.39691235059761
"42003151600",2459,160,709,0.0650671004473363,0.288328588857259,0.353395689304595
"42003100500",1953,169,432,0.0865335381464414,0.221198156682028,0.307731694828469
"42003051100",848,126,157,0.148584905660377,0.185141509433962,0.33372641509434
"42003050100",1806,469,302,0.25968992248062,0.167220376522702,0.426910299003322
"42003250900",1155,164,216,0.141991341991342,0.187012987012987,0.329004329004329
"42003981200",0,0,0,NA,NA,NA
"42003010302",4587,62,157,0.013516459559625,0.0342271637235666,0.0477436232831916
"42003192000",3277,262,647,0.0799511748550503,0.197436679890143,0.277387854745194
"42003160900",3413,330,995,0.0966891297978318,0.291532376208614,0.388221506006446
"42003191900",2183,95,503,0.043518094365552,0.230416857535502,0.273934951901054
"42003310200",3295,90,540,0.0273141122913505,0.163884673748103,0.191198786039454
"42003151700",4468,408,1140,0.0913160250671441,0.255147717099373,0.346463742166517
"42003141300",4852,615,1110,0.126751854905194,0.228771640560594,0.355523495465787
"42003101100",2484,89,596,0.035829307568438,0.239935587761675,0.275764895330113
"42003080400",1666,229,483,0.137454981992797,0.289915966386555,0.427370948379352
"42003070500",2918,380,906,0.130226182316655,0.310486634681289,0.440712816997944
"42003140200",2421,234,312,0.0966542750929368,0.128872366790582,0.225526641883519
"42003111400",1289,218,252,0.169123351435221,0.195500387897595,0.364623739332816
"42003431100",3192,292,753,0.0914786967418546,0.235902255639098,0.327380952380952
"42003428200",2092,61,434,0.0291586998087954,0.207456978967495,0.236615678776291
"42003270100",2491,184,523,0.0738659173022882,0.2099558410277,0.283821758329988
"42003270300",2116,311,383,0.146975425330813,0.181001890359168,0.327977315689981
"42003561900",1883,171,598,0.0908125331917154,0.317578332448221,0.408390865639936
"42003515401",2182,76,572,0.0348304307974335,0.262144821264895,0.296975252062328
"42003564100",961,1,137,0.00104058272632674,0.142559833506764,0.143600416233091
"42003980600",4,4,0,1,0,1
"42003101900",2740,165,486,0.0602189781021898,0.177372262773723,0.237591240875912
"42003120900",1610,230,230,0.142857142857143,0.142857142857143,0.285714285714286
"42003564800",1636,265,331,0.1619804400978,0.202322738386308,0.364303178484108
"42003565100",2951,410,696,0.138935953913927,0.235852253473399,0.374788207387326
"42003980000",0,0,0,NA,NA,NA
"42003463900",3015,497,587,0.164842454394693,0.19469320066335,0.359535655058043
"42003111300",2734,253,597,0.092538405267008,0.218361375274323,0.310899780541331
"42003070800",2576,285,874,0.110636645962733,0.339285714285714,0.449922360248447
"42003130200",1138,103,174,0.0905096660808436,0.152899824253076,0.243409490333919
"42003562400",3050,188,579,0.0616393442622951,0.18983606557377,0.251475409836066
"42003982200",5656,0,3,0,0.00053041018387553,0.00053041018387553
"42003281500",1483,105,211,0.0708024275118004,0.142279163857047,0.213081591368847
"42003563201",261,7,112,0.0268199233716475,0.42911877394636,0.455938697318008
"42003470501",4400,167,1254,0.0379545454545455,0.285,0.322954545454545
"42003040500",2860,381,443,0.133216783216783,0.154895104895105,0.288111888111888
"42003161000",2740,205,613,0.0748175182481752,0.223722627737226,0.298540145985401
"42003010301",1889,0,0,0,0,0
"42003981100",0,0,0,NA,NA,NA
"42003472300",1798,129,324,0.0717463848720801,0.18020022246941,0.251946607341491
"42003060300",2659,174,909,0.0654381346370816,0.341857841293719,0.407295975930801
"42003981000",0,0,0,NA,NA,NA
"42003020100",4416,1090,961,0.246829710144928,0.217617753623188,0.464447463768116
"42003080200",1757,211,451,0.120091064314172,0.256687535571998,0.37677859988617
"42003040600",2309,345,301,0.149415331312256,0.130359462970983,0.279774794283239
"42003478200",5544,517,1229,0.0932539682539683,0.221681096681097,0.314935064935065
"42003473100",4630,245,836,0.0529157667386609,0.180561555075594,0.233477321814255
"42003080900",1994,264,594,0.132397191574724,0.297893681043129,0.430290872617854
"42003140500",2221,156,701,0.070238631247186,0.315623592976137,0.385862224223323
"42003261500",1746,228,269,0.130584192439863,0.154066437571592,0.284650630011455
"42003469000",4856,156,1124,0.0321252059308072,0.231466227347611,0.263591433278418
"42003488300",1874,52,254,0.0277481323372465,0.135538954108858,0.163287086446105
"42003560400",1478,293,372,0.198240866035183,0.25169147496617,0.449932341001353
"42003191100",2220,50,710,0.0225225225225225,0.31981981981982,0.342342342342342
"42003191800",5332,250,1353,0.0468867216804201,0.253750937734434,0.300637659414854
"42003290200",4043,640,744,0.158298293346525,0.184021766015335,0.34232005936186
"42003320400",1842,59,420,0.0320304017372421,0.228013029315961,0.260043431053203
"42003480400",4828,124,693,0.0256835128417564,0.143537696768848,0.169221209610605
"42003476200",3250,115,598,0.0353846153846154,0.184,0.219384615384615
"42003141100",1351,0,235,0,0.173945225758697,0.173945225758697
"42003090100",2041,217,694,0.106320431161195,0.340029397354238,0.446349828515434
"42003080700",2142,415,636,0.1937441643324,0.296918767507003,0.490662931839402
"42003140400",2167,14,321,0.00646054453161052,0.148131056760498,0.154591601292109
"42003140100",6155,141,375,0.0229082047116166,0.0609260763606824,0.083834281072299
"42003111500",3396,847,759,0.249411071849234,0.223498233215548,0.472909305064782
"42003421100",4994,166,548,0.0332398878654385,0.109731678013616,0.142971565879055
"42003050600",1639,278,362,0.169615619280049,0.220866381940207,0.390482001220256
"42003040900",3414,390,638,0.114235500878735,0.186877562975981,0.301113063854716
"42003040400",1501,289,511,0.192538307794803,0.340439706862092,0.532978014656895
"42003040200",2109,185,118,0.087719298245614,0.0559506875296349,0.143669985775249
"42003020300",1717,136,909,0.0792079207920792,0.529411764705882,0.608619685497962
"42003262000",2769,351,484,0.126760563380282,0.174792343806428,0.30155290718671
"42003260700",1638,74,175,0.0451770451770452,0.106837606837607,0.152014652014652
"42003563100",3509,38,1008,0.0108292960957538,0.287261328013679,0.298090624109433
"42003980100",0,0,0,NA,NA,NA
"42003160800",2447,136,623,0.0555782590927667,0.254597466285247,0.310175725378014
"42003565300",1291,35,185,0.0271107668474051,0.143299767621998,0.170410534469404
"42003130700",2193,347,573,0.158230734154127,0.261285909712722,0.419516643866849
"42003562901",1534,59,234,0.0384615384615385,0.152542372881356,0.191003911342894
"42003431500",3098,241,826,0.0777921239509361,0.266623628147192,0.344415752098128
"42003429700",2148,46,361,0.021415270018622,0.168063314711359,0.189478584729981
"42003429100",2469,40,621,0.0162008910490077,0.251518833535844,0.267719724584852
"42003427200",4620,144,929,0.0311688311688312,0.201082251082251,0.232251082251082
"42003427000",3333,362,664,0.108610861086109,0.199219921992199,0.307830783078308
"42003261400",1995,159,563,0.0796992481203008,0.282205513784461,0.361904761904762
"42003260200",2209,119,402,0.053870529651426,0.181982797645994,0.23585332729742
"42003480300",3617,43,660,0.0118883052253249,0.182471661598009,0.194359966823334
"42003478100",4383,413,772,0.0942276979237965,0.176135067305499,0.270362765229295
"42003141400",5455,490,942,0.0898258478460128,0.172685609532539,0.262511457378552
"42003110200",4271,233,1183,0.0545539686256146,0.276984312807305,0.33153828143292
"42003101800",2592,52,644,0.0200617283950617,0.248456790123457,0.268518518518518
"42003090300",1445,165,437,0.114186851211073,0.30242214532872,0.416608996539792
"42003080600",1776,236,532,0.132882882882883,0.29954954954955,0.432432432432432
"42003070900",4252,782,1145,0.183913452492944,0.26928504233302,0.453198494825964
"42003060500",975,109,290,0.111794871794872,0.297435897435897,0.409230769230769
"42003051000",2099,440,328,0.209623630300143,0.156264888041925,0.365888518342068
"42003140300",3331,141,598,0.0423296307415191,0.179525667967577,0.221855298709096
"42003120300",1702,216,291,0.126909518213866,0.170975323149236,0.297884841363102
"42003110600",2393,100,390,0.0417885499373172,0.162975344755537,0.204763894692854
"42003424000",3146,449,757,0.142720915448188,0.240623013350286,0.383343928798474
"42003422000",5264,41,247,0.0077887537993921,0.0469224924012158,0.0547112462006079
